,Movie_Name,Director1,Director2,Director3,Duration,year,Ratings,Metascore,Sno
1531,The Bounty Hunter,Andy Tennant,N/A,N/A,110 min,2010,5.5,22,1532
1532,Under Siege 2: Dark Territory,Geoff Murphy,N/A,N/A,100 min,1995,5.5,52,1533
1533,Peninsula,Sang-ho Yeon,N/A,N/A,116 min,2020,5.5,51,1534
1534,Pompeii,Paul W.S. Anderson,N/A,N/A,105 min,2014,5.5,39,1535
1535,Star Trek V: The Final Frontier,William Shatner,N/A,N/A,107 min,1989,5.5,43,1536
1536,Mortdecai,David Koepp,N/A,N/A,107 min,2015,5.5,27,1537
1537,Collateral Damage,Andrew Davis,N/A,N/A,108 min,2002,5.5,33,1538
1538,Lara Croft: Tomb Raider - The Cradle of Life,Jan de Bont,N/A,N/A,117 min,2003,5.5,43,1539
1539,Babylon A.D,Mathieu Kassovitz,N/A,N/A,90 min,2008,5.5,26,1540
1540,Beverly Hills Ninja,Dennis Dugan,N/A,N/A,88 min,1997,5.5,27,1541
1541,Cop Out,Kevin Smith,N/A,N/A,107 min,2010,5.5,31,1542
1542,Fighting,Dito Montiel,N/A,N/A,105 min,2009,5.5,61,1543
1543,Whiteout,Dominic Sena,N/A,N/A,101 min,2009,5.5,N/A,1544
1544,Stolen,Simon West,N/A,N/A,96 min,2012,5.5,43,1545
1545,The Man,Les Mayfield,N/A,N/A,83 min,2005,5.5,33,1546
1546,Showtime,Tom Dey,N/A,N/A,95 min,2002,5.5,32,1547
1547,Taxi 4,Gérard Krawczyk,N/A,N/A,91 min,2007,5.5,N/A,1548
