,Movie_Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
642,The Mask of Zorro,Antonio Banderas,Anthony Hopkins,Catherine Zeta-Jones,José María de Tavira,"190,930",Action,Comedy,Comedy,250288523,"2,656",PG-13
643,Logan's Run,Michael York,Jenny Agutter,Richard Jordan,Roscoe Lee Browne,"58,900",Action,Sci-Fi,Sci-Fi,N/A,"2,903",PG
644,Hanna,Saoirse Ronan,Cate Blanchett,Eric Bana,Vicky Krieps,"202,525",Action,Drama,Drama,63782078,"3,096",PG-13
645,Patriot Games,Harrison Ford,Sean Bean,Anne Archer,Patrick Bergin,"116,178",Action,N/A,N/A,178051587,"3,174",R
646,Superman II,Gene Hackman,Christopher Reeve,Margot Kidder,Ned Beatty,"110,894",Action,Sci-Fi,Sci-Fi,108185706,"3,222",PG
647,Unstoppable,Denzel Washington,Chris Pine,Rosario Dawson,Ethan Suplee,"202,066",Action,N/A,N/A,167805466,"3,301",PG-13
648,You Only Live Twice,Sean Connery,Akiko Wakabayashi,Mie Hama,Tetsurô Tanba,"113,263",Action,Thriller,Thriller,43095926,"3,376",PG
649,Street Kings,Keanu Reeves,Forest Whitaker,Hugh Laurie,Chris Evans,"116,690",Action,Thriller,Thriller,66476363,"3,672",R
650,The Score,Robert De Niro,Edward Norton,Marlon Brando,Angela Bassett,"130,854",Action,Drama,Drama,113579918,"3,829",R
651,Shin Godzilla,Hiroki Hasegawa,Yutaka Takenouchi,Satomi Ishihara,Ren Ôsugi,"29,758",Action,Horror,Horror,78053145,"3,930",Not Rated
652,Four Brothers,Mark Wahlberg,Tyrese Gibson,André 3000,Garrett Hedlund,"151,723",Action,Drama,Drama,92374674,"4,072",R
653,Innerspace,Dennis Quaid,Martin Short,Meg Ryan,Kevin McCarthy,"62,636",Action,Comedy,Comedy,25893810,"4,139",PG
654,Spies in Disguise,Rachel Brosnahan,Jarrett Bruno,Claire Crosby,Toru Uchikado,"52,619",Animation,Adventure,Adventure,171616764,"4,321",PG
655,Dog Soldiers,Sean Pertwee,Kevin McKidd,Emma Cleasby,Liam Cunningham,"62,882",Action,Thriller,Thriller,3537283,"4,555",R
656,Three Steps Above Heaven,Mario Casas,María Valverde,Álvaro Cervantes,Marina Salas,"27,334",Action,Romance,Romance,14066238,N/A,Not Rated
657,Unknown,Liam Neeson,Diane Kruger,January Jones,Aidan Quinn,"265,330",Action,Thriller,Thriller,135710029,N/A,PG-13
658,El Mariachi,Carlos Gallardo,Consuelo Gómez,Jaime de Hoyos,Peter Marquardt,"69,290",Action,Thriller,Thriller,2040920,N/A,R
659,Enemy Mine,Dennis Quaid,Louis Gossett Jr.,Brion James,Richard Marcus,"49,673",Action,Drama,Drama,12303411,N/A,PG-13
660,Tristan + Isolde,James Franco,Sophia Myles,Rufus Sewell,David O'Hara,"53,480",Action,Romance,Romance,28047963,N/A,PG-13
661,Harsh Times,Christian Bale,Freddy Rodríguez,Eva Longoria,Chaka Forman,"67,182",Action,Drama,Drama,5969708,N/A,R
662,Green Zone,Matt Damon,Jason Isaacs,Greg Kinnear,Igal Naor,"139,758",Action,Thriller,Thriller,113377594,N/A,R
663,We Own the Night,Joaquin Phoenix,Mark Wahlberg,Eva Mendes,Danny Hoch,"90,792",Action,Drama,Drama,55033767,N/A,R
664,Who Am I?,Jackie Chan,Michelle Ferre,Mirai Yamamoto,Ron Smerczak,"41,505",Action,Comedy,Comedy,N/A,N/A,PG-13
665,Dead Snow 2: Red vs,Geir Vegar Hoel,Ørjan Gamst,Martin Starr,Jocelyn DeBoer,"25,773",Action,Fantasy,Fantasy,1187477,N/A,R
666,The Legend,Saravanan Arul,Geethika,Mayilsamy,Nassar,"29,201",Action,Romance,Romance,9335,N/A,UA
667,Black Panther: Wakanda Forever,Letitia Wright,Lupita Nyong'o,Danai Gurira,Winston Duke,"269,556",Action,Drama,Drama,859208836,176,PG-13
668,Extraction,Chris Hemsworth,Bryon Lerum,Ryder Lerum,Rudhraksh Jaiswal,"214,872",Action,N/A,N/A,N/A,362,R
669,Kingsman: The Golden Circle,Taron Egerton,Colin Firth,Mark Strong,Channing Tatum,"343,453",Action,Comedy,Comedy,410902662,521,R
670,Black Widow,Scarlett Johansson,Florence Pugh,David Harbour,Rachel Weisz,"397,324",Action,Sci-Fi,Sci-Fi,379751655,639,PG-13
671,Jumanji: The Next Level,Dwayne Johnson,Jack Black,Kevin Hart,Karen Gillan,"263,737",Action,Comedy,Comedy,801693929,656,PG-13
672,Violent Night,David Harbour,John Leguizamo,Beverly D'Angelo,Alex Hassell,"71,597",Action,Crime,Crime,76004405,755,R
673,In Time,Justin Timberlake,Amanda Seyfried,Cillian Murphy,Olivia Wilde,"423,192",Action,Thriller,Thriller,173930596,779,PG-13
674,Safe House,Denzel Washington,Ryan Reynolds,Robert Patrick,Vera Farmiga,"228,403",Action,N/A,N/A,208076205,823,R
675,The Running Man,Arnold Schwarzenegger,Maria Conchita Alonso,Yaphet Kotto,Jim Brown,"159,044",Action,Thriller,Thriller,38122105,881,R
676,Road House,Patrick Swayze,Kelly Lynch,Sam Elliott,Ben Gazzara,"80,299",Action,N/A,N/A,30050028,891,R
677,The Adam Project,Ryan Reynolds,Walker Scobell,Mark Ruffalo,Jennifer Garner,"214,091",Action,Comedy,Comedy,N/A,897,PG-13
678,Bumblebee,Hailee Steinfeld,Jorge Lendeborg Jr.,John Cena,Jason Drucker,"174,108",Action,Sci-Fi,Sci-Fi,467989645,916,PG-13
679,No Escape,Lake Bell,Pierce Brosnan,Owen Wilson,Thanawut Ketsaro,"89,274",Action,N/A,N/A,54418872,945,R
680,Warcraft,Travis Fimmel,Paula Patton,Ben Foster,Dominic Cooper,"270,484",Action,Fantasy,Fantasy,439048914,"1,149",PG-13
681,Armageddon,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler,"436,434",Action,Sci-Fi,Sci-Fi,553709788,"1,177",PG-13
682,The Equalizer 2,Denzel Washington,Pedro Pascal,Ashton Sanders,Orson Bean,"169,657",Action,Thriller,Thriller,190400157,"1,253",R
683,The Wolverine,Hugh Jackman,Will Yun Lee,Tao Okamoto,Rila Fukushima,"477,772",Action,N/A,N/A,414828246,"1,372",PG-13
684,Commando,Arnold Schwarzenegger,Rae Dawn Chong,Dan Hedaya,Vernon Wells,"167,365",Action,Thriller,Thriller,57491000,"1,546",R
685,Midway,Ed Skrein,Patrick Wilson,Woody Harrelson,Luke Evans,"89,731",Action,History,History,127420861,"1,556",PG-13
686,The A-Team,Liam Neeson,Bradley Cooper,Sharlto Copley,Jessica Biel,"263,610",Action,Crime,Crime,177238796,"1,574",PG-13
687,King Arthur: Legend of the Sword,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou,"223,661",Action,Drama,Drama,148675066,"1,593",PG-13
688,Atomic Blonde,Charlize Theron,James McAvoy,John Goodman,Eddie Marsan,"199,535",Action,N/A,N/A,100014025,"1,603",R
689,Backdraft,Kurt Russell,William Baldwin,Robert De Niro,Donald Sutherland,"83,884",Action,Mystery,Mystery,152368585,"1,659",R
690,Wanted,Angelina Jolie,James McAvoy,Morgan Freeman,Terence Stamp,"398,039",Action,Thriller,Thriller,342463063,"1,776",R
691,Enola Holmes 2,Millie Bobby Brown,Henry Cavill,David Thewlis,Louis Partridge,"87,014",Action,Crime,Crime,N/A,"1,802",PG-13
692,Super,Rainn Wilson,Elliot Page,Liv Tyler,Kevin Bacon,"82,058",Action,Crime,Crime,422618,"1,822",R
693,Teenage Mutant Ninja Turtles,Judith Hoag,Elias Koteas,Josh Pais,David Forman,"97,657",Action,Comedy,Comedy,202084756,"1,837",PG
